Roughed_Cu_U3_her_exp	Roughed_Cu_j3_her_exp	Roughed_Cu_U3_fur_exp	Roughed_Cu_j3_fur_exp
-0.178412541	-0.025337838	-0.179853523	-0.092905405
-0.18823397	-0.025337838	-0.189674952	-0.092905405
-0.19945846	-0.025337838	-0.205108625	-0.092905405
-0.212086011	-0.025337838	-0.226154544	-0.092905405
-0.226116623	-0.025337838	-0.247209942	-0.109797297
-0.240147235	-0.025337838	-0.271066723	-0.118243243
-0.255580909	-0.025337838	-0.294918764	-0.118243243
-0.271019322	-0.033783784	-0.318770805	-0.118243243
-0.283646873	-0.033783784	-0.345433708	-0.126689189
-0.294871363	-0.033783784	-0.367892168	-0.143581081
-0.310305037	-0.033783784	-0.397370674	-0.168918919
-0.324335649	-0.033783784	-0.426844439	-0.185810811
-0.341167643	-0.025337838	-0.456313465	-0.194256757
-0.360819981	-0.04222973	-0.482981109	-0.211148649
-0.373452272	-0.050675676	-0.505449049	-0.244932432
-0.388885945	-0.050675676	-0.523726765	-0.3125
-0.402916558	-0.050675676	-0.539207839	-0.396959459
-0.414145787	-0.059121622	-0.557499776	-0.489864865
-0.426778078	-0.067567568	-0.570188948	-0.599662162
-0.443614813	-0.067567568	-0.580071997	-0.709459459
-0.454839303	-0.067567568	-0.589969267	-0.844594595
-0.467471594	-0.076013514	-0.602682139	-0.996621622
-0.484317809	-0.092905405	-0.609778027	-1.140202703
-0.501168764	-0.118243243	-0.619675296	-1.275337838
-0.518019719	-0.143581081	-0.630980367	-1.418918919
-0.53066623	-0.177364865	-0.639460356	-1.528716216
-0.550332788	-0.219594595	-0.646560983	-1.680743243
-0.565794901	-0.27027027	-0.657866054	-1.824324324
-0.577033611	-0.295608108	-0.669175865	-1.976351351
-0.588291282	-0.35472973	-0.674854471	-2.094594595
-0.605165937	-0.422297297	-0.684732781	-2.195945946
-0.612219164	-0.489864865	-0.691795487	-2.280405405
-0.622069033	-0.540540541	-0.698862934	-2.373310811
-0.630520581	-0.599662162		
-0.636170746	-0.66722973		
-0.643223973	-0.734797297		
-0.650281939	-0.810810811		
-0.657344646	-0.89527027		
-0.665810414	-0.97972973		
-0.672873121	-1.064189189		
-0.677134446	-1.157094595		
-0.685595474	-1.233108108		
-0.692658181	-1.317567568		
-0.696928985	-1.427364865		
-0.702583891	-1.503378378		
-0.706826255	-1.5625		
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
