U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
-0.014096916	-0.188679245	-0.007048458	-0.188679245	-0.014035088	0.188207861	-0.007017544	0.18904064	-0.028070175	-0.003331113	-0.014096916	-0.188679245	0.009090909	0.00E+00	-0.020960699	0.00E+00	-0.0069869	-1.78E-15	-0.009375	0.191082803
-0.091629956	4.44E-15	-0.056387665	-0.188679245	-0.09122807	0.179047302	-0.084210526	0.17988008	-0.063157895	-0.007495003	-0.098678414	0.188679245	-0.0454915	0.00E+00	-0.104759551	-0.188679245	-0.090829694	-1.78E-15	-0.084375	0.191082803
-0.197356828	-0.188679245	-0.105726872	-0.188679245	-0.161403509	0.17071952	-0.140350877	0.173217855	-0.126315789	-0.014990007	-0.169162996	-0.188679245	-0.109090909	0.00E+00	-0.216549944	-0.188679245	-0.16768559	-1.78E-15	-0.20625	0.191082803
-0.26784141	-0.377358491	-0.148017621	-0.188679245	-0.245614035	0.160726183	-0.231578947	0.162391739	-0.238596491	0.161558961	-0.26784141	-0.188679245	-0.168181818	0.00E+00	-0.405196232	-0.188679245	-0.258515284	-1.78E-15	-0.4125	0.191082803
-0.394713656	-0.377358491	-0.232599119	-0.188679245	-0.329824561	0.150732845	-0.301754386	0.154063957	-0.329824561	-0.039140573	-0.451101322	-0.377358491	-0.218181818	0.00E+00	-0.474977342	-0.566037736	-0.370217791	-0.377358491	-0.61875	0.191082803
-0.486343612	-0.377358491	-0.317180617	-0.188679245	-0.407017544	0.141572285	-0.392982456	0.143237841	-0.421052632	-0.049966689	-0.57092511	-0.377358491	-0.272764228	-0.12195122	-0.621438576	-1.698113208	-0.503012826	-0.188679245	-0.84375	2.66E-15
-0.57092511	-0.943396226	-0.38061674	-0.188679245	-0.512280702	-0.060792805	-0.498245614	-0.059127249	-0.526315789	-0.062458361	-0.662555066	-0.377358491	-0.313673319	-0.12195122	-0.704885886	-3.396226415	-0.628777018	-0.188679245	-1.0125	2.66E-15
-0.662555066	-2.452830189	-0.465198238	-0.188679245	-0.589473684	-0.069953364	-0.568421053	-0.257328448	-0.575438596	-0.068287808	-0.754185022	-0.566037736	-0.340983001	-0.243902439	-0.809249952	-5.283018868	-0.782488808	-0.188679245	-1.18125	-0.573248408
-0.754185022	-4.150943396	-0.577973568	-0.377358491	-0.701754386	-0.083277815	-0.687719298	-0.271485676	-0.659649123	-0.078281146	-0.859911894	-0.943396226	-0.372838137	-0.365853659	-0.885534591	-7.735849057	-0.894059488	-1.132075472	-1.284375	-0.955414013
-0.83876652	-6.226415094	-0.634361233	-0.377358491	-0.778947368	-0.282311792	-0.750877193	-0.848600933	-0.715789474	-0.464690207	-0.95154185	-1.320754717	-0.395676275	-0.731707317	-0.968718244	-10.56603774	-1.012265524	-3.58490566	-1.35	-1.337579618
-0.895154185	-7.924528302	-0.697797357	-0.566037736	-0.870175439	-0.483011326	-0.835087719	-2.187708195	-0.785964912	-0.28314457	-1.050220264	-2.452830189	-0.427642276	-1.219512195	-1.045002884	-13.01886792	-1.074488479	-6.41509434	-1.40625	-2.292993631
-0.937444934	-10.56603774	-0.76123348	-0.943396226	-0.926315789	-1.059293804	-0.898245614	-4.093937375	-0.835087719	-0.478847435	-1.120704846	-3.773584906	-0.468699187	-1.707317073	-1.093383868	-15.28301887	-1.164439318	-10.18867925	-1.4625	-3.057324841
-1.014977974	-12.83018868	-0.810572687	-1.320754717	-0.989473684	-1.636409061	-0.961403509	-6.190039973	-0.856140351	-0.861092605	-1.177092511	-5.660377358	-0.491611234	-2.317073171	-1.141764851	-17.54716981	-1.205745516	-12.83018868	-1.509375	-3.821656051
-1.064317181	-14.52830189	-0.852863436	-1.698113208	-1.059649123	-2.783977348	-1.031578947	-8.476848767	-0.89122807	-1.245003331	-1.21938326	-7.169811321	-0.528233555	-3.170731707	-1.204163577	-19.62264151	-1.23997693	-15.8490566	-1.565625	-4.777070064
-1.127753304	-17.54716981	-0.916299559	-2.452830189	-1.129824561	-3.931545636	-1.073684211	-10.1907062	-0.933333333	-2.009493671	-1.268722467	-9.433962264	-0.564929786	-4.268292683	-1.252500618	-22.0754717	-1.281371014	-18.11320755	-1.59375	-5.732484076
-1.177092511	-19.81132075	-0.993832599	-3.20754717	-1.185964912	-5.457195203	-1.129824561	-12.85559627	-0.98245614	-2.395069953	-1.346255507	-11.88679245	-0.592498152	-5.243902439	-1.321886243	-24.1509434	-1.336738898	-20.37735849	-1.65	-6.305732484
-1.247577093	-23.01886792	-1.043171806	-3.962264151	-1.214035088	-6.979513658	-1.178947368	-14.57028648	-1.003508772	-3.157061959	-1.395594714	-14.1509434	-0.624575018	-6.097560976	-1.356337371	-26.22641509	-1.371058197	-23.01886792	-1.6875	-7.070063694
