U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
-1.46073571	0.870967742	-1.468477646	2.419354839	-1.473684211	0.778481013	-1.480701754	0.360759494	-1.480701754	0.284810127	-1.48278438	3	-1.465527682	2.529519896	-1.46206745	0.586619796	-1.41975173	0.417307481	-1.944692296	10.07142857
-1.404640634	0.967741935	-1.4054103	2.612903226	-1.410526316	0.835443038	-1.431578947	0.303797468	-1.410526316	0.379746835	-1.414148274	6.290322581	-1.416111592	2.262759516	-1.413380204	0.68153356	-1.356959244	0.455783808	-1.897421294	9.214285714
-1.355517827	0.967741935	-1.342750424	3.677419355	-1.354385965	1.898734177	-1.354385965	0.284810127	-1.354385965	0.436708861	-1.358189021	6.677419355	-1.334537197	2.456098616	-1.350719543	0.776612106	-1.300889817	0.380973306	-1.823508938	9.785714286
-1.285432937	1.161290323	-1.293220147	2.806451613	-1.298245614	1.708860759	-1.305263158	0.246835443	-1.298245614	0.379746835	-1.295302773	7.258064516	-1.279865917	2.840181661	-1.295265297	0.965945293	-1.244776447	0.287295397	-1.776491062	9.214285714
-1.229247312	1.064516129	-1.23074137	4.258064516	-1.235087719	1.537974684	-1.235087719	0.227848101	-1.228070175	0.341772152	-1.23934352	7.64516129	-1.239532872	2.534926471	-1.239459519	1.004339229	-1.174821487	0.250384489	-1.711311501	9.142857143
-1.159117148	1.161290323	-1.167357102	3.774193548	-1.185964912	1.594936709	-1.185964912	0.189873418	-1.171929825	0.436708861	-1.120316921	8.225806452	-1.18025519	2.99567474	-1.178644403	1.891848841	-1.098055586	0.289025596	-1.654674893	8.214285714
-1.109949066	1.064516129	-1.112258065	6	-1.122807018	1.348101266	-1.122807018	0.189873418	-1.122807018	0.417721519	-1.176366723	8.032258065	-1.108304498	2.672037197	-1.114973086	1.552977041	-1.04936834	0.383939361	-1.597911723	7.142857143
-1.053808715	1.064516129	-1.055664969	5.032258065	-1.052631579	1.386075949	-1.045614035	0.208860759	-1.059649123	0.417721519	-1.051137521	10.35483871	-1.071258651	3.457612457	-1.065099418	1.138470834	-0.986707679	0.479017906	-1.523113431	6.714285714
-0.990786644	1.35483871	-0.985172609	4.35483871	-0.989473684	1.518987342	-0.975438596	0.227848101	-0.989473684	0.474683544	-0.995721562	11.90322581	-0.990506055	2.92365917	-0.995715698	1.346836208	-0.938108316	0.611666484	-1.475336181	5.285714286
-0.927628749	1.35483871	-0.922558008	5.516129032	-0.940350877	1.367088608	-0.933333333	0.284810127	-0.933333333	0.398734177	-0.953480475	11.61290323	-0.930709343	3.84375	-0.925145556	1.04578161	-0.874920356	0.480336153	-1.428444866	4.857142857
-0.871669496	1.741935484	-0.880135823	4.838709677	-0.877192982	0.987341772	-0.870175439	0.32278481	-0.870175439	0.417721519	-0.862931522	13.06451613	-0.885683391	3.691717128	-0.868900363	0.895501483	-0.813402175	1.065967264	-1.342952065	2.857142857
-0.808602151	1.935483871	-0.81041313	5.806451613	-0.814035088	0.664556962	-0.807017544	0.189873418	-0.814035088	0.284810127	-0.792801358	13.16129032	-0.809602076	3.023680796	-0.805844227	0.820773371	-0.750565748	1.085576184	-1.286821705	2.5
-0.745444256	1.935483871	-0.754001132	5.225806452	-0.750877193	0.569620253	-0.757894737	0.094936709	-0.750877193	0.227848101	-0.750379174	12.48387097	-0.74217128	2.699935121	-0.749467209	0.613891025	-0.680786554	1.124134901	-1.220376523	1
-0.68925863	1.838709677	-0.683237125	3.967741935	-0.701754386	0.246835443	-0.687719298	0.075949367	-0.687719298	0.151898734	-0.686044143	9.967741935	-0.688775952	1.954801038	-0.693441723	0.557947929	-0.63781171	0.671811491	-1.164499288	0.928571429
-0.632937182	1.451612903	-0.633389926	2.419354839	-0.638596491	0.208860759			-0.638596491	0.113924051	-0.629043577	8.129032258	-0.621712803	1.305687716	-0.630385587	0.483219818	-0.574272218	0.389541909	-1.090080683	0.928571429
-0.569688738	1.258064516	-0.569779287	1.451612903					-0.58245614	0.094936709	-0.57163554	5.419354839	-0.563732699	0.618079585	-0.574140393	0.33293969			-1.052554975	0.571428571
-0.50639502	0.967741935	-0.492586304	1.451612903							-0.4929485	2.225806452	-0.505363322	0.274978374					-0.97807309	0.5
-0.45016412	0.774193548	-0.450209394	0.870967742							-0.478505942	1.35483871	-0.428762976	0.066284602					-0.912956811	0.5
-0.379852858	0.483870968	-0.379852858	0.483870968															-0.857016295	0.357142857
																		-0.810314824	0.142857143
																		-0.754374308	0
																		-0.670653378	0
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
