U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
-0.709162798	0.444558934	-0.767823873	0.506598772	-0.81014827	0.430037442	-0.807042254	0.434910151	-0.802816901	0.327343371	0.807042254	0.348013599	-0.463473054	0.397887324	-0.468862275	0.190140845	-0.991616766	0.401408451	-1.48869302	0.788461538
-0.646215366	0.405559383	-0.71320653	0.490747342	-0.751514153	0.360305526	-0.747887324	0.294492472	-0.747887324	0.302768334	-0.752112676	0.302748907	-0.404191617	0.383802817	-0.41497006	0.218309859	-0.926946108	0.447183099	-1.446848291	0.826923077
-0.587311667	0.41274824	-0.650555639	0.367134941	-0.692448705	0.413646847	-0.692957746	0.257503643	-0.692957746	0.294745022	-0.688732394	0.137523069	-0.355688623	0.348591549	-0.34491018	0.204225352	-0.867664671	0.394366197	-1.370592949	0.798076923
-0.528650592	0.350708402	-0.5874195	0.381979931	-0.629609106	0.343878988	-0.629577465	0.278484701	-0.633802817	0.274327343	-0.629577465	0.117105391	-0.296407186	0.267605634	-0.291017964	0.137323944	-0.813772455	0.306338028	-1.315081909	0.788461538
-0.474221956	0.281012431	-0.528758424	0.319940093	-0.571190654	0.212610454	-0.570422535	0.212549781	-0.570422535	0.220825644	-0.578873239	0.1421661	-0.237125749	0.197183099	-0.231736527	0.11971831	-0.754491018	0.292253521	-1.252804487	0.740384615
-0.411382357	0.211244571	-0.470151266	0.2425161	-0.512583496	0.135186461	-0.515492958	0.16728509	-0.515492958	0.154871297	-0.515492958	0.130043711	-0.167065868	0.158450704	-0.167065868	0.123239437	-0.695209581	0.232394366	-1.190660613	0.663461538
-0.352694324	0.15689681	-0.411328441	0.226628725	-0.449582148	0.111571065	-0.452112676	0.146886838	-0.452112676	0.088955804	-0.452112676	0.109645459	-0.113173653	0.123239437	-0.113173653	0.098591549	-0.630538922	0.204225352	-1.128783832	0.528846154
-0.293844541	0.148701513	-0.352721282	0.149204733	-0.390624532	0.134144077	-0.392957746	0.118193298	-0.392957746	0.060262263	-0.388732394	0.114074794	-0.053892216	0.105633803	-0.048502994	0.080985915	-0.571257485	0.116197183	-1.080974003	0.355769231
-0.226395088	0.194278868	-0.293898457	0.133317358	-0.331828666	0.110564625	-0.329577465	0.097795046	-0.329577465	0.044001943	-0.329577465	0.122622632			0.005389222	0.077464789	-0.511976048	0.123239437	-1.011885684	0.278846154
-0.176118017	0.140002995					-0.270422535	0.077377368	-0.270422535	0.035998057	-0.270422535	0.040135988					-0.452694611	0.088028169	-0.956686254	0.201923077
-0.11325146	0.077927213					-0.211267606	0.052821758	-0.211267606	0.040407965									-0.901219729	0.182692308
						-0.152112676	0.028266149											-0.832175926	0.096153846
						-0.088732394	0.007867897											-0.776753917	0.067307692
																		-0.714342949	0.048076923
																		-0.659009972	0
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
