U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
-1.460599887	0.580645161	-1.475268817	1.935483871	-1.487719298	1.841772152	-1.480701754	0.911392405	-1.473684211	1.158227848	-1.292314658	0.870967742	-1.467884948	0.4433391	-1.464132704	1.473387894	-1.480786554	2.624134901	-1.93652903	0.857142857
-1.432484437	0.483870968	-1.405138653	2.032258065	-1.41754386	1.784810127	-1.424561404	0.949367089	-1.424561404	1.101265823	-1.23631013	1.161290323	-1.422858997	0.291306228	-1.408326925	1.51178183	-1.423838295	2.171976272	-1.89944629	1
-1.292088285	0.387096774	-1.348998302	2.032258065	-1.354385965	2.221518987	-1.361403509	0.930379747	-1.354385965	1.462025316	-1.166044143	0.967741935	-1.359602076	0.273680796	-1.35260903	1.587910579	-1.361265517	2.30478963	-1.797247271	1.142857143
-1.355291454	0.483870968	-1.27868704	1.741935484	-1.305263158	1.917721519	-1.29122807	0.816455696	-1.298245614	1.234177215	-1.102840973	0.870967742	-1.282785467	0.256379758	-1.289333187	1.418845436	-1.297242667	1.814978578	-1.70447714	1.428571429
-1.22893039	0.387096774	-1.222773062	2.225806452	-1.235087719	1.917721519	-1.228070175	0.816455696	-1.235087719	1.253164557	-1.053672892	0.774193548	-1.228654844	0.161980969	-1.24033835	1.381687356	-1.228078655	2.117680984	-1.658281917	1.785714286
-1.179807583	0.387096774	-1.180396152	1.64516129	-1.178947368	1.955696203	-1.185964912	0.816455696	-1.164912281	1.272151899	-0.983406904	0.580645161	-1.165441176	0.10607699	-1.170119741	1.231572009	-1.164539163	1.835411403	-1.537478247	1.928571429
-1.102614601	0.387096774	-1.117238257	1.64516129	-1.115789474	1.936708861	-1.10877193	0.816455696	-1.115789474	1.234177215	-0.927266553	0.580645161			-1.115324618	1.703916291	-1.121564319	1.383087993	-1.574624268	1.857142857
-1.053491794	0.387096774	-1.047108093	1.741935484	-1.059649123	2.012658228	-1.052631579	0.797468354	-1.059649123	1.120253165	-0.871126203	0.580645161			-1.051257827	1.195237834	-1.051565418	1.327309678	-1.444518272	2
-0.976208263	0.193548387	-0.983678551	1.161290323	-0.996491228	2.012658228	-1.003508772	0.873417722	-0.996491228	1.329113924	-0.807968308	0.580645161			-1.001999341	1.044875316	-0.988333516	1.177111941	-1.398259769	2.285714286
-0.927040181	0.096774194	-0.927447651	0.967741935	-0.933333333	2.46835443	-0.919298246	0.911392405	-0.933333333	1.215189873	-0.751827957	0.580645161			-0.939206855	1.083351642	-0.917851258	0.913792156	-1.323524759	1.928571429
-0.863882286	0.096774194	-0.871216752	0.774193548	-0.870175439	2.278481013	-0.870175439	0.816455696	-0.877192982	1.234177215	-0.688715337	0.677419355			-0.861562122	0.744644623	-0.861298473	0.631440185	-1.286568581	2.214285714
-0.800679117	0	-0.808013582	0.677419355	-0.814035088	1.936708861	-0.821052632	0.607594937	-0.821052632	0.702531646	-0.632574986	0.677419355			-0.819114578	0.518730089	-0.826277052	0.594117324	-1.239424142	1.5
-0.744629315	0.193548387	-0.744765139	0.483870968	-0.750877193	1.537974684	-0.750877193	0.436708861	-0.750877193	0.474683544	-0.569552915	0.967741935			-0.741777436	0.312094914	-0.748764144	0.312012523	-1.165068818	1.571428571
-0.695461234	0.096774194	-0.667391058	0.096774194	-0.701754386	1.063291139	-0.687719298	0.265822785	-0.694736842	0.284810127	-0.506349745	0.870967742			-0.692475008	0.14286499	-0.692475008	0.14286499	-1.090713495	1.642857143
		-0.632348613	0.193548387	-0.638596491	0.683544304	-0.624561404	0.056962025	-0.631578947	0.113924051	-0.450073571	0.580645161			-0.622344282	0.030484456			-1.04382218	1.214285714
				-0.568421053	0.32278481			-0.575438596	0.056962025	-0.386825127	0.387096774							-0.987944945	1.142857143
				-0.512280702	0.113924051													-0.931877867	0.857142857
																		-0.866698307	0.785714286
																		-0.81069451	0.571428571
																		-0.745261826	0.214285714
																		-0.67077994	0.142857143
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
