U_SHE_HER	j_H2_HER	U_SHE_FFR	j_SHE_FFR
-0.342789019	-0.061174974	-0.334894337	-0.061693406
-0.361209944	-0.0599653	-0.355946823	-0.060310921
-0.382268651	-0.117684061	-0.379637091	-0.117856871
-0.403321138	-0.116301575	-0.413847381	-0.115610333
-0.429636745	-0.114573469	-0.453333234	-0.231220665
-0.461221695	-0.171600987	-0.500719991	-0.405413812
-0.492800424	-0.169527259	-0.524422702	-0.581162255
-0.516490692	-0.22707321	-0.550781858	-0.993142873
-0.545450303	-0.343374785	-0.569252552	-1.464743169
-0.566515232	-0.460194792	-0.593017475	-2.231504075
-0.587573939	-0.517913553	-0.60886283	-2.762378428
-0.603381967	-0.694180428	-0.624720627	-3.411455273
-0.619183774	-0.811346057	-0.635321525	-4.119978986
-0.634998023	-1.046714178	-0.651191765	-4.887258324
-0.64554293	-1.223326674	-0.664424223	-5.595609227
-0.656087836	-1.399939171	-0.675031341	-6.363234186
-0.666638964	-1.635652913	-0.690932687	-7.426019756
-0.677196313	-1.930467902	-0.701546026	-8.252745961
-0.687753662	-2.225282891	-0.712165587	-9.138573413
-0.698323453	-2.638300373	-0.725404266	-9.906025562
-0.711531026	-3.11024629	-0.736030048	-10.85095426
-0.719475478	-3.582537828	-0.746662051	-11.85498421
-0.724782148	-3.995900931	-0.752006048	-12.62295479
-0.732714157	-4.349989977	-0.765288276	-13.80411566
-0.735383045	-4.704424644	-0.77855184	-14.80797279
-0.743321276	-5.117614936	-0.797059862	-15.63418057
-0.745996385	-5.53115085	-0.797159401	-16.57980051
-0.751296833	-5.885412706	-0.813035862	-17.40618109
-0.756609724	-6.357877056	-0.821017641	-18.23308011
-0.759284833	-6.771412969	-0.83951322	-18.94108539
-0.767229285	-7.243704508	-0.847482556	-19.64978191
-0.772548397	-7.775270103	-0.863327912	-20.18065627
-0.77786751	-8.306835699	-0.879179488	-20.77063186
-0.78054884	-8.779472858	-0.89763774	-21.12402967
-0.788493291	-9.251764397	-0.929247575	-21.41746217
-0.78853684	-9.665473121	-0.960844968	-21.59269218
-0.796499955	-10.3150684	-0.984547678	-21.76844063
-0.804456849	-10.90556243	-1.013501068	-21.82564095
-0.804500397	-11.31927115	-1.055624704	-22.00017972
-0.809807067	-11.73263426	-1.087203433	-21.998106
-0.815113737	-12.14599736	-1.121426165	-22.11406195
-0.817795067	-12.61863452	-1.145103991	-22.05340541
-0.820470176	-13.03217043		
-0.828420849	-13.56356322		
-0.833739961	-14.09512881		
-0.841690634	-14.6265216		
-0.844384407	-15.21736125		
-0.849691077	-15.63072435		
-0.852366186	-16.04426027		
-0.857679077	-16.51672462		
-0.862998189	-17.04829021		
-0.868304859	-17.46165331		
-0.873605307	-17.81591517		
-0.881537317	-18.17000422		
-0.884206205	-18.52443888		
-0.892144435	-18.93762918		
-0.897438663	-19.23278979		
-0.905370672	-19.58687883		
-0.915928021	-19.88169382		
-0.92648537	-20.17650881		
-0.934404937	-20.41239536		
-0.952838305	-20.52938818		
-0.968652554	-20.7647563		
-0.984454361	-20.88192193		
-1.008144629	-20.93946788		
-1.029209557	-21.05628789		
-1.058156725	-21.05438697		
-1.081834551	-20.99373043		
-1.105518598	-20.99217513		
-1.118676402	-20.99131108		
-1.137091106	-20.93100016		
